id,section,element_key,label,value,updated_at
contato_address_city,contato,address_city,"Cidade, Estado e CEP","Catalão, GO — 75701-220",2026-05-20 12:26:35.080358+00
contato_address_label,contato,address_label,Rótulo do Endereço,Localização,2026-05-20 12:26:35.080358+00
contato_address_street,contato,address_street,Rua e Número,"Rua Dr. Wiliam Faiad, 171",2026-05-20 12:26:35.080358+00
contato_badge,contato,badge,Selo do Contato,Iniciar Projeto,2026-05-20 12:26:35.080358+00
contato_desc,contato,desc,Descrição Principal,Vamos tirar sua ideia do papel e criar algo único juntos.,2026-06-25 19:47:06.077001+00
contato_email_label,contato,email_label,Rótulo do E-mail,E-mail,2026-05-20 12:26:35.080358+00
contato_email_val,contato,email_val,Endereço de E-mail,hello@digitalagency.com,2026-05-20 12:26:35.080358+00
contato_instagram_label,contato,instagram_label,Rótulo do Instagram,Instagram,2026-05-20 12:26:35.080358+00
contato_instagram_val,contato,instagram_val,Perfil do Instagram,@alvaro.ttt,2026-05-20 12:26:35.080358+00
contato_studio_label,contato,studio_label,Rótulo do Estúdio,Estúdio,2026-05-20 12:26:35.080358+00
contato_studio_val,contato,studio_val,Perfil do Estúdio,@juramento.ttt,2026-05-20 12:26:35.080358+00
contato_title,contato,title,Título Principal,Transforme visão em arte,2026-05-20 12:26:35.080358+00
contato_typing_badge,contato,typing_badge,Selo da Frase Rotativa,Arte que inspira,2026-05-20 12:26:35.080358+00
contato_typing_phrases,contato,typing_phrases,Frases Rotativas,"na pele, na rua, na tela, arte onde você quiser ",2026-06-25 19:47:56.149439+00
contato_whatsapp_label,contato,whatsapp_label,Rótulo do WhatsApp,WhatsApp,2026-05-20 12:26:35.080358+00
contato_whatsapp_val,contato,whatsapp_val,Telefone do WhatsApp,+55 (64) 9318-0314,2026-05-20 12:26:35.080358+00
faq_badge,faq,badge,Selo do FAQ,Ainda está com dúvidas?,2026-05-20 12:26:35.080358+00
faq_cta_btn,faq,cta_btn,Botão de Ação do FAQ,Falar com Álvaro,2026-06-25 19:46:00.174444+00
faq_cta_title,faq,cta_title,Título da Chamada Final,Ainda tem dúvidas?,2026-05-20 12:26:35.080358+00
faq_desc,faq,desc,Descrição Auxiliar,"Tudo o que você precisa saber sobre o meu processo criativo, agendamentos e projetos autorais.",2026-05-20 12:26:35.080358+00
faq_title,faq,title,Título Principal,Dúvidas Frequentes.,2026-05-20 12:26:35.080358+00
global_footer_admin_link,global,footer_admin_link,Texto do Link do Admin,Área do Administrador,2026-05-20 12:26:35.080358+00
global_footer_email,global,footer_email,E-mail de Contato,hello@digitalagency.com,2026-05-20 12:26:35.080358+00
global_footer_slogan,global,footer_slogan,Slogan do Rodapé,Arte onde você quiser,2026-06-25 19:01:58.768012+00
global_header_menu,global,header_menu,Menu de Navegação,"Início, Tattoo, Graffiti, Telas, Ilustrações, Sobre, FAQ, Contato",2026-05-20 12:26:35.080358+00
graffiti_badge,graffiti,badge,Selo da Página,Portfólio de Graffiti,2026-05-20 12:26:35.080358+00
graffiti_btn_action,graffiti,btn_action,Botão de Ação,Orçar,2026-05-20 12:26:35.080358+00
graffiti_btn_insta,graffiti,btn_insta,Botão Instagram,Ver no Insta,2026-05-20 12:26:35.080358+00
